,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
12857,9022001010102001,Norrmalmstorg,59.333665,18.073326,0,9021001010102000,
12865,9022001010107001,Jarlaplan,59.344713,18.061585,0,9021001010107000,
12866,9022001010107002,Jarlaplan,59.344058,18.062248,0,9021001010107000,
12868,9022001010110001,Tegnérgatan,59.341616,18.064789,0,9021001010110000,
12869,9022001010110002,Tegnérgatan,59.34144,18.064623,0,9021001010110000,
12870,9022001010112001,Eriksbergsgatan,59.339726,18.067534,0,9021001010112000,
12871,9022001010112002,Eriksbergsgatan,59.339365,18.067869,0,9021001010112000,
12914,9022001010226002,Norrtullsgatan,59.346681,18.04676,0,9021001010226000,
12915,9022001010227001,Ynglingagatan,59.348763,18.046113,0,9021001010227000,
12916,9022001010227002,Ynglingagatan,59.348963,18.04513,0,9021001010227000,
12917,9022001010230002,Frejgatan,59.344274,18.047091,0,9021001010230000,
12918,9022001010231001,Vanadisvägen,59.345815,18.045285,0,9021001010231000,
12919,9022001010231002,Vanadisvägen,59.345765,18.045527,0,9021001010231000,
12928,9022001010254001,Ersta sjukhus,59.31513,18.090146,0,9021001010254000,
12930,9022001010254003,Ersta sjukhus,59.315498,18.088975,0,9021001010254000,
12932,9022001010255002,Erstagatan,59.313731,18.090846,0,9021001010255000,
12933,9022001010255004,Erstagatan,59.314395,18.090204,0,9021001010255000,
12934,9022001010256001,Sofiaskolan,59.313048,18.09491,0,9021001010256000,
12935,9022001010256003,Sofiaskolan,59.313388,18.093431,0,9021001010256000,
16187,9022001010225001,Sveaplan,59.349698,18.049117,0,9021001010225000,
16189,9022001010225005,Sveaplan,59.350131,18.048456,0,9021001010225000,
16190,9022001010226001,Norrtullsgatan,59.346624,18.046426,0,9021001010226000,
16506,9022001010031004,Stureplan,59.335373,18.073309,0,9021001010031000,D
16507,9022001010031005,Stureplan,59.335176,18.073173,0,9021001010031000,A
16524,9022001010191001,Roslagsgatan,59.345083,18.059916,0,9021001010191000,
17362,9022001010881003,Barnängen,59.309755,18.096743,0,9021001010881000,
17363,9022001010151001,Odenplan,59.342478,18.049246,0,9021001010151000,G
17563,9022001010294003,Kungsträdgården,59.332241,18.07191,0,9021001010294000,
17779,9022001010230001,Frejgatan,59.344522,18.04677,0,9021001010230000,
18134,9022001010120002,Karl XII:s torg,59.329946,18.0732,0,9021001010120000,
18439,9022001010414001,Kungsträdgården,59.331086,18.072596,0,9021001010414000,
18981,9022001010976002,Mandelparken,59.311039,18.095988,0,9021001010976000,
20042,9022001010122001,Slottsbacken,59.326038,18.075225,0,9021001010122000,
20043,9022001010122002,Slottsbacken,59.325813,18.075401,0,9021001010122000,
20097,9022001010250001,Tjärhovsplan,59.316613,18.083385,0,9021001010250000,
20098,9022001010250002,Tjärhovsplan,59.316266,18.083593,0,9021001010250000,
20120,9022001011002014,Slussen,59.319123,18.074776,0,9021001011002000,F
20121,9022001011002015,Slussen,59.319978,18.072464,0,9021001011002000,G
20130,9022001010976001,Mandelparken,59.310493,18.098121,0,9021001010976000,
20728,9022001010151005,Odenplan,59.343073,18.049314,0,9021001010151000,B
20733,9022001010188001,Stadsbiblioteket,59.343806,18.054696,0,9021001010188000,
20734,9022001010188002,Stadsbiblioteket,59.344224,18.056358,0,9021001010188000,
