,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
10572,9022001005111001,Rosersberg,59.583038,17.880234,0,9021001005111000,2
10573,9022001005111002,Rosersberg,59.583029,17.880233,0,9021001005111000,1
10574,9022001005121001,Märsta,59.627662,17.86095,0,9021001005121000,1
10575,9022001005121002,Märsta,59.627707,17.860953,0,9021001005121000,7
10917,9022001005031002,Solna,59.366495,18.009606,0,9021001005031000,3
10918,9022001005041002,Ulriksdal,59.379909,18.001071,0,9021001005041000,3
12784,9022001005011001,Stockholms central,59.329757,18.057936,0,9021001005011000,14
12785,9022001005011002,Stockholms central,59.329613,18.057926,0,9021001005011000,15
12788,9022001005011006,Stockholms central,59.330027,18.057148,0,9021001005011000,13
12800,9022001005135001,Årstaberg,59.299343,18.027569,0,9021001005135000,3
12801,9022001005135002,Årstaberg,59.300026,18.029106,0,9021001005135000,2
16258,9022001005121003,Märsta,59.627193,17.861351,0,9021001005121000,2
18110,9022001005191001,Tumba,59.199676,17.836424,0,9021001005191000,1
18111,9022001005191002,Tumba,59.199672,17.836668,0,9021001005191000,4
18112,9022001005191003,Tumba,59.199595,17.837592,0,9021001005191000,2
18113,9022001005191004,Tumba,59.199657,17.83763,0,9021001005191000,3
19021,9022001005141001,Älvsjö,59.278525,18.010263,0,9021001005141000,4
19022,9022001005310001,Stockholm City,59.331143,18.059394,0,9021001005310000,1
19023,9022001005320001,Stockholm Odenplan,59.343217,18.045721,0,9021001005320000,1
19027,9022001005161001,Huddinge,59.237413,17.980514,0,9021001005161000,3
19028,9022001005171001,Flemingsberg,59.219046,17.947204,0,9021001005171000,5
19030,9022001006241001,Gröndalsviken,58.898924,17.93188,0,9021001006241000,1
19040,9022001005051001,Helenelund,59.409421,17.961992,0,9021001005051000,3
19041,9022001005161002,Huddinge,59.237378,17.980459,0,9021001005161000,2
19046,9022001006181001,Krigslida,59.109114,18.065903,0,9021001006181000,1
19047,9022001006251001,Nynäshamn,58.901241,17.951348,0,9021001006251000,2
19048,9022001006251002,Nynäshamn,58.901216,17.951302,0,9021001006251000,1
19049,9022001006201001,Hemfosa,59.068901,17.976561,0,9021001006201000,2
19050,9022001005231001,Södertälje centrum,59.192135,17.627225,0,9021001005231000,4
19051,9022001005181001,Tullinge,59.205413,17.903821,0,9021001005181000,1
19052,9022001005181002,Tullinge,59.205404,17.903786,0,9021001005181000,2
19053,9022001006151001,Handen,59.16823,18.135073,0,9021001006151000,1
19054,9022001006151002,Handen,59.168159,18.135033,0,9021001006151000,2
19057,9022001006171001,Västerhaninge,59.122932,18.102896,0,9021001006171000,1
19059,9022001006181002,Krigslida,59.109039,18.066018,0,9021001006181000,2
19060,9022001006191001,Tungelsta,59.10252,18.045336,0,9021001006191000,2
19061,9022001006191002,Tungelsta,59.102478,18.045176,0,9021001006191000,1
19062,9022001006201002,Hemfosa,59.068861,17.976534,0,9021001006201000,1
19063,9022001005151001,Stuvsta,59.253275,17.99585,0,9021001005151000,3
19064,9022001005151002,Stuvsta,59.253284,17.99585,0,9021001005151000,2
19065,9022001005171002,Flemingsberg,59.219011,17.947149,0,9021001005171000,4
19082,9022001006211001,Segersäng,59.02815,17.926109,0,9021001006211000,2
19085,9022001006221002,Ösmo,58.98454,17.902622,0,9021001006221000,1
19086,9022001006231001,Nynäsgård,58.913449,17.942512,0,9021001006231000,1
19088,9022001006251003,Nynäshamn,58.901225,17.95132,0,9021001006251000,3
19089,9022001005201001,Rönninge,59.193594,17.751458,0,9021001005201000,1
19090,9022001005201002,Rönninge,59.193593,17.751563,0,9021001005201000,2
19091,9022001005051002,Helenelund,59.409384,17.962043,0,9021001005051000,2
19092,9022001005061001,Sollentuna,59.428018,17.94883,0,9021001005061000,3
19093,9022001005061002,Sollentuna,59.428,17.948846,0,9021001005061000,2
19094,9022001005071001,Häggvik,59.443557,17.933168,0,9021001005071000,3
19095,9022001005071002,Häggvik,59.443539,17.933184,0,9021001005071000,2
19096,9022001005081001,Norrviken,59.458019,17.924569,0,9021001005081000,3
19097,9022001005081002,Norrviken,59.457974,17.924584,0,9021001005081000,2
19098,9022001005091001,Rotebro,59.476569,17.914082,0,9021001005091000,3
19099,9022001005091002,Rotebro,59.47656,17.914099,0,9021001005091000,2
19100,9022001005031001,Solna,59.366514,18.009537,0,9021001005031000,2
19101,9022001005041001,Ulriksdal,59.379891,18.00107,0,9021001005041000,2
19102,9022001005131002,Stockholms södra,59.313544,18.061817,0,9021001005131000,1
19104,9022001005131004,Stockholms södra,59.313614,18.061892,0,9021001005131000,2
19105,9022001005141002,Älvsjö,59.278585,18.010425,0,9021001005141000,3
19106,9022001005141003,Älvsjö,59.278542,18.010317,0,9021001005141000,8
19107,9022001005141004,Älvsjö,59.278585,18.010425,0,9021001005141000,7
19110,9022001005310002,Stockholm City,59.331151,18.05943,0,9021001005310000,3
19111,9022001005310003,Stockholm City,59.331123,18.059463,0,9021001005310000,2
19112,9022001005310004,Stockholm City,59.33114,18.0595,0,9021001005310000,4
19113,9022001005320002,Stockholm Odenplan,59.343208,18.04572,0,9021001005320000,2
19116,9022001006121001,Farsta strand,59.236656,18.101935,0,9021001006121000,2
19117,9022001006121002,Farsta strand,59.236655,18.10197,0,9021001006121000,1
19119,9022001005211001,Östertälje,59.183785,17.661458,0,9021001005211000,1
19120,9022001005211002,Östertälje,59.183785,17.661441,0,9021001005211000,2
19123,9022001005221002,Södertälje hamn,59.179081,17.646263,0,9021001005221000,4
19126,9022001005221005,Södertälje hamn,59.179145,17.646179,0,9021001005221000,1
19128,9022001005231002,Södertälje centrum,59.192035,17.627324,0,9021001005231000,2
19129,9022001005231003,Södertälje centrum,59.192035,17.627324,0,9021001005231000,3
19130,9022001005231004,Södertälje centrum,59.192062,17.627291,0,9021001005231000,1
19131,9022001005101001,Upplands Väsby,59.521547,17.899482,0,9021001005101000,2
19132,9022001005101002,Upplands Väsby,59.521601,17.899521,0,9021001005101000,4
19133,9022001005101003,Upplands Väsby,59.522348,17.899974,0,9021001005101000,3
19138,9022001005006001,Knivsta,59.726552,17.786933,0,9021001005006000,1
19140,9022001005007001,Uppsala C,59.858562,17.648515,0,9021001005007000,1
19152,9022001006171003,Västerhaninge,59.122934,18.10299,0,9021001006171000,3
